model,topic,blockade_condition,repetition,gamma_1,gamma_2,gamma_3,gamma_norm,gamma_initial,gamma_revised,gamma_final,delta_gamma,euclidean_dist_to_claude_B0_mean,euclidean_dist_to_gemini_B0_mean,euclidean_dist_to_gpt4o_B0_mean
gemini,T1,B0,5,0.559,0.375,0.45,0.81,0.2,0.224,0.2,0.024,0.22727111563064945,0.29663085476733536,0.3064713702778777
gemini,T1,B_Op3,1,0.572,0.625,0.25,0.883,0.3,0.229,0.236,-0.071,0.33989839658344956,0.36983010153312285,0.3858673616671925
gemini,T1,B_Op3,2,0.15,0.75,0.0,0.765,0.3,0.05,0.05,-0.25,0.5677908769960996,0.5530315940341927,0.6148822170139578
gemini,T1,B_Op3,3,0.5,0.562,0.25,0.793,0.3,0.15,0.183,-0.15,0.25209157066431237,0.282388852471198,0.342582867055549
gemini,T1,B_Op3,4,0.5,0.562,0.1,0.759,0.4,0.1,0.14,-0.3,0.31312962172237874,0.3023962036798743,0.4806901505127809
gemini,T1,B_Op3,5,0.15,0.188,0.15,0.283,0.3,0.067,0.0,-0.233,0.32351630561688854,0.2775255375636628,0.5849352620589735
gemini,T1,B_Op5,1,0.541,0.312,0.25,0.673,0.3,0.167,0.158,-0.133,0.1449326740248727,0.1510977961454104,0.44264371767822486
gemini,T1,B_Op5,2,0.15,0.312,0.45,0.568,0.25,0.271,0.267,0.021,0.3002634842933786,0.33999332934632703,0.3341541871651469
gemini,T1,B_Op5,3,0.15,0.312,0.25,0.427,0.3,0.214,0.207,-0.086,0.2572122858651974,0.2473771695205522,0.43961235287466616
gemini,T1,B_Op5,4,0.521,0.312,0.6,0.854,0.272,0.164,0.15,-0.108,0.33225755070426916,0.40629169816770805,0.31317193488561523
gemini,T1,B_Op5,5,0.15,0.438,0.25,0.526,0.3,0.1,0.11,-0.2,0.27716926236507544,0.2818872540573624,0.38132566239370774
gemini,T1,B_Op7,1,0.509,0.375,0.55,0.838,0.258,0.261,0.262,0.003,0.2838594018171673,0.36227871038745846,0.2528491661050121
gemini,T1,B_Op7,2,0.56,0.312,0.25,0.688,0.25,0.124,0.115,-0.126,0.1630992335972184,0.1695767201003723,0.45150129656513727
gemini,T1,B_Op7,3,0.54,0.312,0.4,0.741,0.25,0.116,0.116,-0.134,0.17672283383875448,0.23630206093049633,0.35614129330927075
gemini,T1,B_Op7,4,0.509,0.375,0.25,0.68,0.269,0.165,0.159,-0.104,0.12073176881003607,0.1401637042889492,0.39538930283961904
gemini,T1,B_Op7,5,0.589,0.312,0.25,0.712,0.261,0.247,0.217,-0.014,0.19113984409327112,0.19797167474161542,0.46619071290620967
gemini,T2,B0,1,0.521,0.312,0.1,0.615,0.458,0.3,0.311,-0.158,0.2244884852280847,0.1705079001102295,0.5496150114398259
gemini,T2,B0,2,0.506,0.375,0.0,0.63,0.417,0.114,0.11,-0.303,0.3105649690483458,0.2519290058726863,0.608144868267422
gemini,T2,B0,3,0.15,0.312,0.15,0.377,0.494,0.065,0.08,-0.429,0.2901002585314257,0.25297324759744855,0.5138667344749999
gemini,T2,B0,4,0.05,0.375,0.4,0.551,0.6,0.329,0.317,-0.271,0.3723835119873059,0.39820967341339164,0.38089518348228035
gemini,T2,B0,5,0.584,0.312,0.0,0.662,0.483,0.15,0.174,-0.333,0.3423475427106203,0.2859604588050592,0.6552782468539604
gemini,T2,B_Op3,1,0.15,0.75,0.0,0.765,0.4,0.25,0.25,-0.15,0.5677908769960996,0.5530315940341927,0.6148822170139578
gemini,T2,B_Op3,2,0.5,0.75,0.3,0.95,0.45,0.4,0.4,-0.05,0.4285072694832609,0.46770925156554255,0.3517444254000338
gemini,T2,B_Op3,3,0.05,0.75,0.0,0.752,0.6,0.3,0.3,-0.3,0.618897794470137,0.6039502827220135,0.6530667200217753
gemini,T2,B_Op3,4,0.05,0.625,0.25,0.675,0.6,0.35,0.417,-0.25,0.46024936719130854,0.4732979442169594,0.4258416851366244
gemini,T2,B_Op3,5,0.1,0.5,1.0,1.122,0.617,0.55,0.6,-0.067,0.7899686576061103,0.8622992195288129,0.5115937263102432
gemini,T2,B_Op5,1,0.523,0.438,0.15,0.698,0.462,0.272,0.282,-0.19,0.2122139486461717,0.1973516252783341,0.46048515806701085
gemini,T2,B_Op5,2,0.518,0.438,0.25,0.723,0.46,0.317,0.311,-0.143,0.16081716326312934,0.18678400359773853,0.37344662376302185
gemini,T2,B_Op5,3,0.573,0.188,0.1,0.611,0.494,0.165,0.15,-0.329,0.29300300339757607,0.24073151850142097,0.6336233745688364
gemini,T2,B_Op5,4,0.59,0.438,0.15,0.75,0.45,0.136,0.112,-0.314,0.2560695218099959,0.24626738314279456,0.4906922261458805
gemini,T2,B_Op5,5,0.15,0.312,0.15,0.377,0.47,0.216,0.21,-0.254,0.2901002585314257,0.25297324759744855,0.5138667344749999
gemini,T2,B_Op7,1,0.05,0.25,0.1,0.274,0.633,0.305,0.3,-0.328,0.40952958379096377,0.36670961809039043,0.6249609114176662
gemini,T2,B_Op7,2,0.0,0.188,0.1,0.213,0.6,0.171,0.15,-0.429,0.46865210977867156,0.42636653714849626,0.682036113999838
gemini,T2,B_Op7,3,0.0,0.188,0.6,0.629,0.6,0.267,0.264,-0.333,0.5288050680543824,0.5637272602952602,0.5110511332538067
gemini,T2,B_Op7,4,0.576,0.188,0.25,0.655,0.509,0.229,0.216,-0.28,0.22886310318616235,0.21755758777850057,0.5377481760080641
