model,topic,blockade_condition,repetition,target_operator,suppressed,suppression_evidence,gamma_norm,delta_gamma,position_depth_initial,position_depth_revised,delta_position_depth,self_ref_depth_initial,self_ref_depth_revised,delta_self_ref_depth,hypothesis_diversity
claude,T5,B_Op3,2,Op3,True,position_depth: 4 → 3 (delta=-1),0.283,-0.17,4.0,3.0,-1.0,,,,
claude,T5,B_Op3,3,Op3,False,position_depth: 4 → 4 (delta=+0),0.672,-0.25,4.0,4.0,0.0,,,,
claude,T5,B_Op3,4,Op3,False,position_depth: 4 → 4 (delta=+0),0.806,-0.15,4.0,4.0,0.0,,,,
claude,T5,B_Op3,5,Op3,False,position_depth: 4 → 4 (delta=+0),0.681,-0.3,4.0,4.0,0.0,,,,
claude,T5,B_Op5,1,Op5,False,self_ref_depth: 1 → 4 (delta=+3),0.347,-0.167,,,,1.0,4.0,3.0,
claude,T5,B_Op5,2,Op5,False,self_ref_depth: 1 → 4 (delta=+3),0.6,-0.28,,,,1.0,4.0,3.0,
claude,T5,B_Op5,3,Op5,False,self_ref_depth: 1 → 1 (delta=+0),0.65,-0.06,,,,1.0,1.0,0.0,
claude,T5,B_Op5,4,Op5,False,self_ref_depth: 1 → 4 (delta=+3),0.75,-0.177,,,,1.0,4.0,3.0,
claude,T5,B_Op5,5,Op5,False,self_ref_depth: 1 → 4 (delta=+3),1.066,-0.053,,,,1.0,4.0,3.0,
claude,T5,B_Op7,1,Op7,False,hypothesis_diversity=3 (fragmentation proxy),0.742,-0.2,,,,,,,3.0
claude,T5,B_Op7,2,Op7,False,hypothesis_diversity=3 (fragmentation proxy),0.918,-0.033,,,,,,,3.0
claude,T5,B_Op7,3,Op7,False,hypothesis_diversity=3 (fragmentation proxy),0.427,-0.12,,,,,,,3.0
claude,T5,B_Op7,4,Op7,False,hypothesis_diversity=3 (fragmentation proxy),0.64,-0.25,,,,,,,3.0
claude,T5,B_Op7,5,Op7,False,hypothesis_diversity=2 (fragmentation proxy),0.848,-0.145,,,,,,,2.0
gemini,T1,B0,1,,,Baseline control - no suppression expected,0.779,0.044,,,,,,,
gemini,T1,B0,2,,,Baseline control - no suppression expected,0.672,-0.081,,,,,,,
gemini,T1,B0,3,,,Baseline control - no suppression expected,0.693,-0.11,,,,,,,
gemini,T1,B0,4,,,Baseline control - no suppression expected,0.749,-0.095,,,,,,,
gemini,T1,B0,5,,,Baseline control - no suppression expected,0.81,0.024,,,,,,,
gemini,T1,B_Op3,1,Op3,False,position_depth: 4 → 4 (delta=+0),0.883,-0.071,4.0,4.0,0.0,,,,
gemini,T1,B_Op3,2,Op3,False,position_depth: 4 → 5 (delta=+1),0.765,-0.25,4.0,5.0,1.0,,,,
gemini,T1,B_Op3,3,Op3,False,position_depth: 4 → 4 (delta=+0),0.793,-0.15,4.0,4.0,0.0,,,,
gemini,T1,B_Op3,4,Op3,False,position_depth: 5 → 5 (delta=+0),0.759,-0.3,5.0,5.0,0.0,,,,
gemini,T1,B_Op3,5,Op3,False,position_depth: 4 → 5 (delta=+1),0.283,-0.233,4.0,5.0,1.0,,,,
gemini,T1,B_Op5,1,Op5,False,self_ref_depth: 4 → 5 (delta=+1),0.673,-0.133,,,,4.0,5.0,1.0,
gemini,T1,B_Op5,2,Op5,False,self_ref_depth: 4 → 5 (delta=+1),0.568,0.021,,,,4.0,5.0,1.0,
gemini,T1,B_Op5,3,Op5,False,self_ref_depth: 4 → 5 (delta=+1),0.427,-0.086,,,,4.0,5.0,1.0,
gemini,T1,B_Op5,4,Op5,False,self_ref_depth: 4 → 5 (delta=+1),0.854,-0.108,,,,4.0,5.0,1.0,
gemini,T1,B_Op5,5,Op5,False,self_ref_depth: 4 → 5 (delta=+1),0.526,-0.2,,,,4.0,5.0,1.0,
gemini,T1,B_Op7,1,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.838,0.003,,,,,,,4.0
gemini,T1,B_Op7,2,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.688,-0.126,,,,,,,4.0
gemini,T1,B_Op7,3,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.741,-0.134,,,,,,,4.0
gemini,T1,B_Op7,4,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.68,-0.104,,,,,,,4.0
gemini,T1,B_Op7,5,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.712,-0.014,,,,,,,4.0
gemini,T2,B0,1,,,Baseline control - no suppression expected,0.615,-0.158,,,,,,,
gemini,T2,B0,2,,,Baseline control - no suppression expected,0.63,-0.303,,,,,,,
gemini,T2,B0,3,,,Baseline control - no suppression expected,0.377,-0.429,,,,,,,
gemini,T2,B0,4,,,Baseline control - no suppression expected,0.551,-0.271,,,,,,,
gemini,T2,B0,5,,,Baseline control - no suppression expected,0.662,-0.333,,,,,,,
gemini,T2,B_Op3,1,Op3,True,position_depth: 5 → 4 (delta=-1),0.765,-0.15,5.0,4.0,-1.0,,,,
gemini,T2,B_Op3,2,Op3,False,position_depth: 4 → 4 (delta=+0),0.95,-0.05,4.0,4.0,0.0,,,,
gemini,T2,B_Op3,3,Op3,False,position_depth: 1 → 4 (delta=+3),0.752,-0.3,1.0,4.0,3.0,,,,
gemini,T2,B_Op3,4,Op3,False,position_depth: 1 → 4 (delta=+3),0.675,-0.25,1.0,4.0,3.0,,,,
gemini,T2,B_Op3,5,Op3,False,position_depth: 2 → 4 (delta=+2),1.122,-0.067,2.0,4.0,2.0,,,,
gemini,T2,B_Op5,1,Op5,False,self_ref_depth: 1 → 2 (delta=+1),0.698,-0.19,,,,1.0,2.0,1.0,
gemini,T2,B_Op5,2,Op5,False,self_ref_depth: 1 → 2 (delta=+1),0.723,-0.143,,,,1.0,2.0,1.0,
gemini,T2,B_Op5,3,Op5,False,self_ref_depth: 1 → 4 (delta=+3),0.611,-0.329,,,,1.0,4.0,3.0,
gemini,T2,B_Op5,4,Op5,False,self_ref_depth: 1 → 4 (delta=+3),0.75,-0.314,,,,1.0,4.0,3.0,
gemini,T2,B_Op5,5,Op5,False,self_ref_depth: 1 → 4 (delta=+3),0.377,-0.254,,,,1.0,4.0,3.0,
gemini,T2,B_Op7,1,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.274,-0.328,,,,,,,4.0
gemini,T2,B_Op7,2,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.213,-0.429,,,,,,,4.0
gemini,T2,B_Op7,3,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.629,-0.333,,,,,,,4.0
gemini,T2,B_Op7,4,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.655,-0.28,,,,,,,4.0
gemini,T2,B_Op7,5,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.427,-0.243,,,,,,,4.0
gemini,T3,B0,1,,,Baseline control - no suppression expected,0.794,-0.103,,,,,,,
gemini,T3,B0,2,,,Baseline control - no suppression expected,0.69,-0.177,,,,,,,
gemini,T3,B0,3,,,Baseline control - no suppression expected,0.36,-0.243,,,,,,,
gemini,T3,B0,4,,,Baseline control - no suppression expected,0.475,-0.2,,,,,,,
gemini,T3,B0,5,,,Baseline control - no suppression expected,0.346,-0.307,,,,,,,
gemini,T3,B_Op3,1,Op3,False,position_depth: 4 → 5 (delta=+1),0.643,-0.25,4.0,5.0,1.0,,,,
gemini,T3,B_Op3,2,Op3,False,position_depth: 4 → 4 (delta=+0),0.962,-0.05,4.0,4.0,0.0,,,,
gemini,T3,B_Op3,3,Op3,False,position_depth: 4 → 4 (delta=+0),1.047,-0.044,4.0,4.0,0.0,,,,
gemini,T3,B_Op3,4,Op3,False,position_depth: 4 → 4 (delta=+0),0.907,-0.15,4.0,4.0,0.0,,,,
gemini,T3,B_Op3,5,Op3,False,position_depth: 4 → 4 (delta=+0),0.85,-0.25,4.0,4.0,0.0,,,,
gemini,T3,B_Op5,1,Op5,True,self_ref_depth: 4 → 2 (delta=-2),1.048,-0.131,,,,4.0,2.0,-2.0,
gemini,T3,B_Op5,2,Op5,False,self_ref_depth: 4 → 4 (delta=+0),0.902,0.012,,,,4.0,4.0,0.0,
gemini,T3,B_Op5,3,Op5,False,self_ref_depth: 4 → 4 (delta=+0),0.416,-0.192,,,,4.0,4.0,0.0,
gemini,T3,B_Op5,4,Op5,False,self_ref_depth: 4 → 5 (delta=+1),0.346,-0.269,,,,4.0,5.0,1.0,
gemini,T3,B_Op5,5,Op5,False,self_ref_depth: 4 → 4 (delta=+0),0.99,-0.021,,,,4.0,4.0,0.0,
gemini,T3,B_Op7,1,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.709,-0.137,,,,,,,4.0
gemini,T3,B_Op7,2,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.331,-0.35,,,,,,,4.0
gemini,T3,B_Op7,3,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.427,-0.152,,,,,,,4.0
gemini,T3,B_Op7,4,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.416,-0.232,,,,,,,4.0
gemini,T3,B_Op7,5,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.404,-0.179,,,,,,,4.0
gemini,T4,B0,1,,,Baseline control - no suppression expected,0.545,-0.295,,,,,,,
gemini,T4,B0,2,,,Baseline control - no suppression expected,0.347,-0.306,,,,,,,
gemini,T4,B0,3,,,Baseline control - no suppression expected,0.283,-0.344,,,,,,,
gemini,T4,B0,4,,,Baseline control - no suppression expected,0.617,-0.225,,,,,,,
gemini,T4,B0,5,,,Baseline control - no suppression expected,0.567,-0.344,,,,,,,
gemini,T4,B_Op3,1,Op3,False,position_depth: 4 → 4 (delta=+0),0.752,-0.35,4.0,4.0,0.0,,,,
gemini,T4,B_Op3,2,Op3,False,position_depth: 4 → 4 (delta=+0),0.752,-0.3,4.0,4.0,0.0,,,,
gemini,T4,B_Op3,3,Op3,False,position_depth: 4 → 4 (delta=+0),0.752,-0.35,4.0,4.0,0.0,,,,
gemini,T4,B_Op3,4,Op3,False,position_depth: 4 → 4 (delta=+0),0.869,-0.2,4.0,4.0,0.0,,,,
gemini,T4,B_Op3,5,Op3,False,position_depth: 4 → 4 (delta=+0),0.75,-0.26,4.0,4.0,0.0,,,,
gemini,T4,B_Op5,1,Op5,False,self_ref_depth: 1 → 4 (delta=+3),0.628,-0.232,,,,1.0,4.0,3.0,
gemini,T4,B_Op5,2,Op5,False,self_ref_depth: 1 → 2 (delta=+1),0.54,-0.008,,,,1.0,2.0,1.0,
gemini,T4,B_Op5,3,Op5,False,self_ref_depth: 1 → 4 (delta=+3),0.589,-0.35,,,,1.0,4.0,3.0,
gemini,T4,B_Op5,4,Op5,False,self_ref_depth: 1 → 4 (delta=+3),0.474,-0.357,,,,1.0,4.0,3.0,
gemini,T4,B_Op5,5,Op5,False,self_ref_depth: 1 → 4 (delta=+3),0.604,-0.293,,,,1.0,4.0,3.0,
gemini,T4,B_Op7,1,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.534,-0.35,,,,,,,4.0
gemini,T4,B_Op7,2,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.246,-0.444,,,,,,,4.0
gemini,T4,B_Op7,3,Op7,True,hypothesis_diversity=5 (fragmentation proxy),0.298,-0.247,,,,,,,5.0
gemini,T4,B_Op7,4,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.347,-0.363,,,,,,,4.0
gemini,T4,B_Op7,5,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.347,-0.31,,,,,,,4.0
gemini,T5,B0,1,,,Baseline control - no suppression expected,0.283,-0.225,,,,,,,
gemini,T5,B0,2,,,Baseline control - no suppression expected,0.347,-0.189,,,,,,,
gemini,T5,B0,3,,,Baseline control - no suppression expected,0.82,0.006,,,,,,,
gemini,T5,B0,4,,,Baseline control - no suppression expected,1.004,-0.15,,,,,,,
gemini,T5,B0,5,,,Baseline control - no suppression expected,0.622,-0.285,,,,,,,
gemini,T5,B_Op3,1,Op3,True,position_depth: 5 → 4 (delta=-1),0.582,-0.3,5.0,4.0,-1.0,,,,
gemini,T5,B_Op3,2,Op3,True,position_depth: 5 → 4 (delta=-1),0.601,-0.1,5.0,4.0,-1.0,,,,
gemini,T5,B_Op3,3,Op3,True,position_depth: 5 → 4 (delta=-1),0.601,-0.25,5.0,4.0,-1.0,,,,
gemini,T5,B_Op3,4,Op3,True,position_depth: 5 → 4 (delta=-1),0.601,-0.25,5.0,4.0,-1.0,,,,
gemini,T5,B_Op3,5,Op3,False,position_depth: 4 → 4 (delta=+0),1.251,0.05,4.0,4.0,0.0,,,,
gemini,T5,B_Op5,1,Op5,False,self_ref_depth: 1 → 4 (delta=+3),0.346,-0.247,,,,1.0,4.0,3.0,
gemini,T5,B_Op5,2,Op5,False,self_ref_depth: 1 → 4 (delta=+3),0.693,-0.139,,,,1.0,4.0,3.0,
gemini,T5,B_Op5,3,Op5,False,self_ref_depth: 1 → 4 (delta=+3),0.938,-0.121,,,,1.0,4.0,3.0,
gemini,T5,B_Op5,4,Op5,False,self_ref_depth: 1 → 4 (delta=+3),0.693,-0.136,,,,1.0,4.0,3.0,
gemini,T5,B_Op5,5,Op5,False,self_ref_depth: 1 → 4 (delta=+3),0.742,-0.15,,,,1.0,4.0,3.0,
gemini,T5,B_Op7,1,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.317,-0.381,,,,,,,4.0
gemini,T5,B_Op7,2,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.188,-0.493,,,,,,,4.0
gemini,T5,B_Op7,3,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.834,-0.33,,,,,,,4.0
gemini,T5,B_Op7,4,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.636,-0.339,,,,,,,4.0
gemini,T5,B_Op7,5,Op7,True,hypothesis_diversity=4 (fragmentation proxy),0.561,-0.361,,,,,,,4.0
gpt4o,T1,B0,1,,,Baseline control - no suppression expected,1.264,-0.05,,,,,,,
gpt4o,T1,B0,2,,,Baseline control - no suppression expected,1.126,0.05,,,,,,,
gpt4o,T1,B0,3,,,Baseline control - no suppression expected,1.062,-0.05,,,,,,,
gpt4o,T1,B0,4,,,Baseline control - no suppression expected,1.062,0.0,,,,,,,
gpt4o,T1,B0,5,,,Baseline control - no suppression expected,0.877,-0.15,,,,,,,
gpt4o,T1,B_Op3,1,Op3,True,position_depth: 4 → 1 (delta=-3),0.788,0.25,4.0,1.0,-3.0,,,,
gpt4o,T1,B_Op3,2,Op3,True,position_depth: 4 → 1 (delta=-3),1.173,0.5,4.0,1.0,-3.0,,,,
gpt4o,T1,B_Op3,3,Op3,False,position_depth: 1 → 1 (delta=+0),1.371,0.25,1.0,1.0,0.0,,,,
gpt4o,T1,B_Op3,4,Op3,True,position_depth: 4 → 2 (delta=-2),1.066,0.2,4.0,2.0,-2.0,,,,
gpt4o,T1,B_Op3,5,Op3,True,position_depth: 4 → 2 (delta=-2),0.987,0.1,4.0,2.0,-2.0,,,,
gpt4o,T1,B_Op5,1,Op5,False,self_ref_depth: 1 → 1 (delta=+0),1.007,0.0,,,,1.0,1.0,0.0,
gpt4o,T1,B_Op5,2,Op5,False,self_ref_depth: 1 → 1 (delta=+0),1.274,0.15,,,,1.0,1.0,0.0,
gpt4o,T1,B_Op5,3,Op5,False,self_ref_depth: 1 → 2 (delta=+1),1.134,0.1,,,,1.0,2.0,1.0,
gpt4o,T1,B_Op5,4,Op5,False,self_ref_depth: 1 → 2 (delta=+1),1.134,0.1,,,,1.0,2.0,1.0,
gpt4o,T1,B_Op5,5,Op5,False,self_ref_depth: 1 → 1 (delta=+0),1.274,0.0,,,,1.0,1.0,0.0,
gpt4o,T1,B_Op7,1,Op7,False,hypothesis_diversity=3 (fragmentation proxy),0.682,-0.193,,,,,,,3.0
gpt4o,T1,B_Op7,2,Op7,False,hypothesis_diversity=3 (fragmentation proxy),0.682,-0.116,,,,,,,3.0
